county,cases,deaths,newcases,newdeaths,date
Santa Clara,151.0,6.0,151,6,2020-03-18
Santa Clara,183.0,8.0,32,2,2020-03-19
Santa Clara,246.0,8.0,63,0,2020-03-20
Santa Clara,269.0,10.0,23,2,2020-03-21
Santa Clara,284.0,13.0,15,3,2020-03-22
Santa Clara,336.0,13.0,52,0,2020-03-23
Santa Clara,389.0,17.0,53,4,2020-03-24
Santa Clara,452.0,20.0,63,3,2020-03-25
Santa Clara,487.0,20.0,35,0,2020-03-26
Santa Clara,557.0,25.0,70,5,2020-03-27
Santa Clara,587.0,27.0,30,2,2020-03-28
Santa Clara,591.0,30.0,4,3,2020-03-29
Santa Clara,745.0,31.0,154,1,2020-03-30
Santa Clara,777.0,30.0,32,-1,2020-03-31
Santa Clara,805.0,33.0,28,3,2020-04-01
Santa Clara,908.0,38.0,103,5,2020-04-02
Santa Clara,983.0,39.0,75,1,2020-04-03
Santa Clara,1045.0,39.0,62,0,2020-04-04
Santa Clara,1052.0,42.0,7,3,2020-04-05
Santa Clara,1128.0,43.0,76,1,2020-04-06
Santa Clara,1193.0,46.0,65,3,2020-04-07
Santa Clara,1257.0,47.0,64,1,2020-04-08
Santa Clara,1301.0,49.0,44,2,2020-04-09
Santa Clara,1351.0,52.0,50,3,2020-04-10
Santa Clara,1441.0,52.0,90,0,2020-04-11
Santa Clara,1461.0,53.0,20,1,2020-04-12
Santa Clara,1542.0,60.0,81,7,2020-04-13
Santa Clara,1561.0,66.0,19,6,2020-04-14
Santa Clara,1692.0,66.0,131,0,2020-04-15
Santa Clara,1789.0,69.0,97,3,2020-04-16
Santa Clara,1834.0,73.0,45,4,2020-04-17
Santa Clara,1862.0,73.0,28,0,2020-04-18
Santa Clara,1878.0,79.0,16,6,2020-04-19
Santa Clara,1920.0,83.0,42,4,2020-04-20
Santa Clara,1943.0,88.0,23,5,2020-04-21
Santa Clara,1969.0,94.0,26,6,2020-04-22
Santa Clara,1996.0,95.0,27,1,2020-04-23
Santa Clara,2026.0,98.0,30,3,2020-04-24
Santa Clara,2045.0,99.0,19,1,2020-04-25
Santa Clara,2097.0,102.0,52,3,2020-04-26
Santa Clara,2104.0,105.0,7,3,2020-04-27
Santa Clara,2130.0,106.0,26,1,2020-04-28
Santa Clara,2147.0,108.0,17,2,2020-04-29
Santa Clara,2172.0,111.0,25,3,2020-04-30
Santa Clara,2176.0,113.0,4,2,2020-05-01
Santa Clara,2203.0,115.0,27,2,2020-05-02
Santa Clara,2235.0,116.0,32,1,2020-05-03
Santa Clara,2238.0,119.0,3,3,2020-05-04
Santa Clara,2249.0,123.0,11,4,2020-05-05
Santa Clara,2270.0,126.0,21,3,2020-05-06
Santa Clara,2281.0,127.0,11,1,2020-05-07
Santa Clara,2285.0,130.0,4,3,2020-05-08
Santa Clara,2317.0,130.0,32,0,2020-05-09
Santa Clara,2331.0,130.0,14,0,2020-05-10
Santa Clara,2340.0,133.0,9,3,2020-05-11
Santa Clara,2362.0,133.0,22,0,2020-05-12
Santa Clara,2370.0,135.0,8,2,2020-05-13
Santa Clara,2380.0,135.0,10,0,2020-05-14
Santa Clara,2395.0,136.0,15,1,2020-05-15
Santa Clara,2420.0,136.0,25,0,2020-05-16
Santa Clara,2453.0,136.0,33,0,2020-05-17
Santa Clara,2468.0,136.0,15,0,2020-05-18
Santa Clara,2480.0,139.0,12,3,2020-05-19
Santa Clara,2508.0,139.0,28,0,2020-05-20
Santa Clara,2520.0,139.0,12,0,2020-05-21
Santa Clara,2537.0,139.0,17,0,2020-05-22
Santa Clara,2593.0,139.0,56,0,2020-05-23
Santa Clara,2623.0,139.0,30,0,2020-05-24
Santa Clara,2647.0,140.0,24,1,2020-05-25
Santa Clara,2659.0,140.0,12,0,2020-05-26
Santa Clara,2680.0,141.0,21,1,2020-05-27
Santa Clara,2698.0,141.0,18,0,2020-05-28
Santa Clara,2707.0,141.0,9,0,2020-05-29
Santa Clara,2741.0,141.0,34,0,2020-05-30
Santa Clara,2785.0,144.0,44,3,2020-05-31
Santa Clara,2797.0,144.0,12,0,2020-06-01
Santa Clara,2819.0,144.0,22,0,2020-06-02
Santa Clara,2836.0,144.0,17,0,2020-06-03
Santa Clara,2871.0,144.0,35,0,2020-06-04
Santa Clara,2902.0,144.0,31,0,2020-06-05
Santa Clara,2934.0,144.0,32,0,2020-06-06
Santa Clara,2947.0,144.0,13,0,2020-06-07
Santa Clara,2971.0,149.0,24,5,2020-06-08
Santa Clara,3006.0,149.0,35,0,2020-06-09
Santa Clara,3032.0,149.0,26,0,2020-06-10
Santa Clara,3049.0,149.0,17,0,2020-06-11
Santa Clara,3099.0,150.0,50,1,2020-06-12
Santa Clara,3141.0,150.0,42,0,2020-06-13
Santa Clara,3178.0,151.0,37,1,2020-06-14
Santa Clara,3204.0,152.0,26,1,2020-06-15
Santa Clara,3228.0,152.0,24,0,2020-06-16
Santa Clara,3264.0,152.0,36,0,2020-06-17
Santa Clara,3338.0,152.0,74,0,2020-06-18
Santa Clara,3376.0,152.0,38,0,2020-06-19
Santa Clara,3435.0,154.0,59,2,2020-06-20
Santa Clara,3514.0,154.0,79,0,2020-06-21
Santa Clara,3580.0,154.0,66,0,2020-06-22
Santa Clara,3700.0,155.0,120,1,2020-06-23
Santa Clara,3812.0,155.0,112,0,2020-06-24
Santa Clara,3883.0,155.0,71,0,2020-06-25
Santa Clara,3985.0,155.0,102,0,2020-06-26
Santa Clara,4043.0,155.0,58,0,2020-06-27
Santa Clara,4193.0,155.0,150,0,2020-06-28
Santa Clara,4372.0,156.0,179,1,2020-06-29
Santa Clara,4476.0,157.0,104,1,2020-06-30
Santa Clara,4545.0,158.0,69,1,2020-07-01
Santa Clara,4722.0,159.0,177,1,2020-07-02
Santa Clara,4820.0,160.0,98,1,2020-07-03
Santa Clara,5045.0,160.0,225,0,2020-07-04
Santa Clara,5237.0,161.0,192,1,2020-07-05
Santa Clara,5369.0,164.0,132,3,2020-07-06
Santa Clara,5438.0,165.0,69,1,2020-07-07
Santa Clara,5510.0,165.0,72,0,2020-07-08
Santa Clara,5638.0,166.0,128,1,2020-07-09
Santa Clara,5819.0,166.0,181,0,2020-07-10
Santa Clara,5959.0,166.0,140,0,2020-07-11
Santa Clara,6252.0,166.0,293,0,2020-07-12
Santa Clara,6488.0,167.0,236,1,2020-07-13
Santa Clara,6686.0,170.0,198,3,2020-07-14
Santa Clara,6900.0,173.0,214,3,2020-07-15
Santa Clara,6990.0,176.0,90,3,2020-07-16
Santa Clara,7080.0,177.0,90,1,2020-07-17
Santa Clara,7255.0,177.0,175,0,2020-07-18
Santa Clara,7403.0,177.0,148,0,2020-07-19
Santa Clara,7711.0,178.0,308,1,2020-07-20
Santa Clara,7989.0,178.0,278,0,2020-07-21
Santa Clara,8266.0,180.0,277,2,2020-07-22
Santa Clara,8458.0,181.0,192,1,2020-07-23
Santa Clara,8658.0,183.0,200,2,2020-07-24
