RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,Password,Email,Role
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,6,1,6,1234,b90b_15634602@gmail.com,ROLE_USER
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,6,0,6,1234,8588_15647311@gmail.com,ROLE_USER
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,6,1,6,1234,a500_15619304@gmail.com,ROLE_USER
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,5,0,6,1234,8d75_15701354@gmail.com,ROLE_USER
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,4,0,6,1234,86af_15737888@gmail.com,ROLE_USER
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,8,1,6,1234,85a9_15574012@gmail.com,ROLE_USER
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,1,0,6,1234,a9e9_15592531@gmail.com,ROLE_USER
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,6,1,5,1234,b661_15656148@gmail.com,ROLE_USER
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,4,0,6,1234,9109_15792365@gmail.com,ROLE_USER
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,4,0,5,1234,90ed_15592389@gmail.com,ROLE_USER
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,4,0,5,1234,8296_15767821@gmail.com,ROLE_USER
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,4,0,4,1234,be32_15737173@gmail.com,ROLE_USER
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,2,0,5,1234,80eb_15632264@gmail.com,ROLE_USER
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,10,0,5,1234,85c2_15691483@gmail.com,ROLE_USER
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,4,0,5,1234,a0de_15600882@gmail.com,ROLE_USER
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,4,0,6,1234,a118_15643966@gmail.com,ROLE_USER
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,1,1,6,1234,928e_15737452@gmail.com,ROLE_USER
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,1,0,4,1234,b00b_15788218@gmail.com,ROLE_USER
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,8,0,6,1234,b76c_15661507@gmail.com,ROLE_USER
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,3,0,4,1234,a66d_15568982@gmail.com,ROLE_USER
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,9,0,6,1234,b22a_15577657@gmail.com,ROLE_USER
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,7,0,5,1234,9301_15597945@gmail.com,ROLE_USER
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,6,1,6,1234,ba43_15699309@gmail.com,ROLE_USER
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,1,0,6,1234,a3f7_15725737@gmail.com,ROLE_USER
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,10,0,6,1234,b501_15625047@gmail.com,ROLE_USER
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,7,0,5,1234,a3bd_15738191@gmail.com,ROLE_USER
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,9,0,6,1234,9e09_15736816@gmail.com,ROLE_USER
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,2,0,6,1234,b0d3_15700772@gmail.com,ROLE_USER
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,5,0,6,1234,b698_15728693@gmail.com,ROLE_USER
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,3,0,5,1234,b7da_15656300@gmail.com,ROLE_USER
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,8,1,6,1234,8ea8_15589475@gmail.com,ROLE_USER
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,8,0,6,1234,9da9_15706552@gmail.com,ROLE_USER
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,5,0,6,1234,8450_15750181@gmail.com,ROLE_USER
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,2,0,6,1234,a1b3_15659428@gmail.com,ROLE_USER
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,8,0,5,1234,9c6a_15732963@gmail.com,ROLE_USER
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,2,1,6,1234,a382_15794171@gmail.com,ROLE_USER
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,6,0,5,1234,b4d0_15788448@gmail.com,ROLE_USER
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,5,0,5,1234,90f4_15729599@gmail.com,ROLE_USER
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,2,0,6,1234,9010_15717426@gmail.com,ROLE_USER
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,9,0,6,1234,92ce_15585768@gmail.com,ROLE_USER
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,4,0,6,1234,bb9c_15619360@gmail.com,ROLE_USER
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,10,1,6,1234,b7ae_15738148@gmail.com,ROLE_USER
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,5,0,7,1234,9ef2_15687946@gmail.com,ROLE_USER
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,10,1,6,1234,9880_15755196@gmail.com,ROLE_USER
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,8,0,7,1234,968e_15684171@gmail.com,ROLE_USER
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,7,0,5,1234,b767_15754849@gmail.com,ROLE_USER
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,6,1,5,1234,9836_15602280@gmail.com,ROLE_USER
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,6,1,6,1234,9b04_15771573@gmail.com,ROLE_USER
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,5,0,6,1234,9735_15766205@gmail.com,ROLE_USER
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,10,0,6,1234,8452_15771873@gmail.com,ROLE_USER
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,10,0,6,1234,8cb9_15616550@gmail.com,ROLE_USER
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,5,0,6,1234,9d67_15768193@gmail.com,ROLE_USER
