,CustomerId,CreditScore,Geography,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Email,AgeGroup,Exited
1,15634602,4,1,1,2,1,1,1,1,6,15634602@gmail.com,6,1
2,15647311,4,2,1,1,5,1,0,1,6,15647311@gmail.com,6,0
3,15619304,1,1,1,8,10,3,1,0,6,15619304@gmail.com,6,1
4,15701354,7,1,1,1,1,2,0,0,5,15701354@gmail.com,6,0
5,15737888,10,2,1,2,8,1,1,1,4,15737888@gmail.com,6,0
6,15574012,5,2,0,8,7,2,1,0,8,15574012@gmail.com,6,1
7,15592531,10,1,0,7,1,2,1,1,1,15592531@gmail.com,6,0
8,15656148,1,3,1,4,7,4,1,0,6,15656148@gmail.com,5,1
9,15792365,1,1,0,4,9,2,0,1,4,15792365@gmail.com,6,0
10,15592389,7,1,0,2,9,1,1,1,4,15592389@gmail.com,5,0
11,15767821,2,1,0,6,6,2,0,0,4,15767821@gmail.com,5,0
12,15737173,1,2,0,3,1,2,1,0,4,15737173@gmail.com,4,0
13,15632264,1,1,1,10,1,2,1,0,2,15632264@gmail.com,5,0
14,15691483,2,1,1,5,1,2,0,0,10,15691483@gmail.com,5,0
15,15600882,5,2,1,7,1,2,1,1,4,15600882@gmail.com,5,0
16,15643966,4,3,0,3,9,2,0,1,4,15643966@gmail.com,6,0
17,15737452,6,3,0,1,8,1,1,0,1,15737452@gmail.com,6,1
18,15788218,2,2,1,9,1,2,1,1,1,15788218@gmail.com,4,0
19,15661507,3,2,0,6,1,1,0,0,8,15661507@gmail.com,6,0
20,15568982,8,1,1,6,1,2,1,1,3,15568982@gmail.com,4,0
21,15577657,8,1,0,8,1,2,1,1,9,15577657@gmail.com,6,0
22,15597945,5,2,1,8,1,2,1,0,7,15597945@gmail.com,5,0
23,15699309,1,2,1,4,1,1,1,0,6,15699309@gmail.com,6,1
24,15725737,6,1,0,3,1,2,0,1,1,15725737@gmail.com,6,0
25,15625047,10,1,1,5,1,1,1,1,10,15625047@gmail.com,6,0
26,15738191,3,1,0,3,1,2,0,1,7,15738191@gmail.com,5,0
27,15736816,9,3,0,2,9,1,1,1,9,15736816@gmail.com,6,0
28,15700772,3,1,0,9,1,2,0,0,2,15700772@gmail.com,6,0
29,15728693,3,3,1,3,9,1,1,1,5,15728693@gmail.com,6,0
30,15656300,1,1,0,0,4,2,1,1,3,15656300@gmail.com,5,0
31,15589475,3,2,1,3,1,3,1,0,8,15589475@gmail.com,6,1
32,15706552,2,1,0,7,5,1,0,1,8,15706552@gmail.com,6,0
